matrix,time
512,7.07493
1024,18.2571
1536,34.6585
2048,67.4533
2560,118.362
3072,194.374
3584,292.534
4096,434.62
4608,591.67
5120,840.24
5632,1161.32
6144,1529.25
6656,1891.34
7168,2353.8
7680,2902.13
8192,4072.02
