matrix,time
512,1.24
1024,2.61
1536,8.25
2048,18.10
2560,34.01
3072,59.33
3584,96.14
4096,169.39
4608,225.82
5120,300.53
5632,398.70
6144,623.46
6656,666.87
7168,851.75
7680,1094.16
8192,1772.98
