matrix,time
512,5.03
1024,20.91
1536,96.75
2048,254.71
2560,497.72
3072,979.21
3584,1466.64
4096,2455.71
4608,3708.48
5120,5102.49
5632,6778.46
6144,8800.80
6656,11315.07
7168,13916.82
7680,17598.20
8192,20869.34
