matrix,time
512,0
1024,5.1575
1536,20.2304
2048,57.0387
2560,162.616
3072,204.015
3584,336.621
4096,536.254
4608,711.347
5120,1047.23
5632,1297.17
6144,1741.39
6656,2188.89
7168,2719.14
7680,3400.35
8192,4033.04
