matrix,time
512,6.26935
1024,26.5296
1536,78.9179
2048,196.476
2560,355.158
3072,644.244
3584,1176.93
4096,1822.1
4608,2644.12
5120,3663.52
5632,4762.04
6144,6249.34
6656,8052.92
7168,9968.98
7680,12339.8
8192,14643
