"grammar","algo","chunk_size","chunk_id","chunk_time","control_sum"
"g2","SingleSourceAlgoBrute",16,0,0.0007889270782470703,3
"g2","SingleSourceAlgoBrute",16,1,0.0003631114959716797,6
"g2","SingleSourceAlgoBrute",16,2,0.001016378402709961,2
"g2","SingleSourceAlgoBrute",16,3,0.0007188320159912109,6
"g2","SingleSourceAlgoBrute",16,4,0.00036072731018066406,0
"g2","SingleSourceAlgoBrute",16,5,0.0003554821014404297,2
"g2","SingleSourceAlgoBrute",16,6,0.00035691261291503906,1
"g2","SingleSourceAlgoBrute",16,7,0.0006053447723388672,2
"g2","SingleSourceAlgoBrute",16,8,0.0003783702850341797,5
"g2","SingleSourceAlgoBrute",16,9,0.0007414817810058594,3
"g2","SingleSourceAlgoBrute",16,10,0.0003681182861328125,1
"g2","SingleSourceAlgoBrute",16,11,0.0003631114959716797,2
"g2","SingleSourceAlgoBrute",16,12,0.0007450580596923828,5
"g2","SingleSourceAlgoBrute",16,13,0.00036835670471191406,3
"g2","SingleSourceAlgoBrute",16,14,0.0003681182861328125,1
"g2","SingleSourceAlgoBrute",16,15,0.001386880874633789,5
"g2","SingleSourceAlgoBrute",16,16,0.0006465911865234375,2
"g2","SingleSourceAlgoBrute",16,17,0.0003883838653564453,3
"g2","SingleSourceAlgoBrute",16,18,0.00038242340087890625,1
"g2","SingleSourceAlgoBrute",16,19,0.0006365776062011719,4
"g2","SingleSourceAlgoBrute",16,20,0.0003764629364013672,1
"g2","SingleSourceAlgoBrute",16,21,0.00072479248046875,4
"g2","SingleSourceAlgoBrute",16,22,0.00035858154296875,1
"g2","SingleSourceAlgoBrute",16,23,0.0013713836669921875,4
"g2","SingleSourceAlgoBrute",16,24,0.0003650188446044922,5
"g2","SingleSourceAlgoBrute",16,25,0.0003561973571777344,2
"g2","SingleSourceAlgoBrute",16,26,0.00035834312438964844,2
"g2","SingleSourceAlgoBrute",16,27,0.0007066726684570312,2
"g2","SingleSourceAlgoBrute",16,28,0.00036025047302246094,4
"g2","SingleSourceAlgoBrute",16,29,0.0003561973571777344,2
"g2","SingleSourceAlgoBrute",16,30,0.0009555816650390625,8
"g2","SingleSourceAlgoBrute",16,31,0.0005714893341064453,1
"g2","SingleSourceAlgoBrute",16,32,0.0009207725524902344,6
"g2","SingleSourceAlgoBrute",16,33,0.0003609657287597656,4
"g2","SingleSourceAlgoBrute",16,34,0.00035881996154785156,3
"g2","SingleSourceAlgoBrute",16,35,0.0007464885711669922,4
"g2","SingleSourceAlgoBrute",16,36,0.0003867149353027344,6
"g2","SingleSourceAlgoBrute",16,37,0.0003559589385986328,3
"g2","SingleSourceAlgoBrute",16,38,0.00035500526428222656,4
"g2","SingleSourceAlgoBrute",16,39,0.00035500526428222656,2
"g2","SingleSourceAlgoBrute",16,40,0.00035691261291503906,2
"g2","SingleSourceAlgoBrute",16,41,0.0003566741943359375,2
"g2","SingleSourceAlgoBrute",16,42,0.0006883144378662109,2
"g2","SingleSourceAlgoBrute",16,43,0.0007359981536865234,2
"g2","SingleSourceAlgoBrute",16,44,0.000370025634765625,1
"g2","SingleSourceAlgoBrute",16,45,0.0014615058898925781,2
"g2","SingleSourceAlgoBrute",16,46,0.00036334991455078125,1
"g2","SingleSourceAlgoBrute",16,47,0.0009381771087646484,2
"g2","SingleSourceAlgoBrute",16,48,0.0006239414215087891,2
"g2","SingleSourceAlgoBrute",16,49,0.0003609657287597656,1
"g2","SingleSourceAlgoBrute",16,50,0.0005910396575927734,2
"g2","SingleSourceAlgoBrute",16,51,0.0005877017974853516,3
"g2","SingleSourceAlgoBrute",16,52,0.0012602806091308594,3
"g2","SingleSourceAlgoBrute",16,53,0.0003600120544433594,1
"g2","SingleSourceAlgoBrute",16,54,0.00035691261291503906,1
"g2","SingleSourceAlgoBrute",16,55,0.0003540515899658203,3
"g2","SingleSourceAlgoBrute",16,56,0.0005993843078613281,1
"g2","SingleSourceAlgoBrute",16,57,0.0003592967987060547,2
"g2","SingleSourceAlgoBrute",16,58,0.00035643577575683594,3
"g2","SingleSourceAlgoBrute",16,59,0.0005640983581542969,1
"g2","SingleSourceAlgoBrute",16,60,0.0003571510314941406,1
"g2","SingleSourceAlgoBrute",16,61,0.0003540515899658203,0
"g2","SingleSourceAlgoBrute",16,62,0.0006866455078125,2
"g2","SingleSourceAlgoBrute",16,63,0.0003552436828613281,3
"g2","SingleSourceAlgoBrute",16,64,0.0009005069732666016,0
"g2","SingleSourceAlgoBrute",16,65,0.0005676746368408203,2
"g2","SingleSourceAlgoBrute",16,66,0.000698089599609375,7
"g2","SingleSourceAlgoBrute",16,67,0.00035881996154785156,1
"g2","SingleSourceAlgoBrute",16,68,0.0003554821014404297,1
"g2","SingleSourceAlgoBrute",16,69,0.0012247562408447266,2
"g2","SingleSourceAlgoBrute",16,70,0.0003638267517089844,2
"g2","SingleSourceAlgoBrute",16,71,0.0006995201110839844,1
"g2","SingleSourceAlgoBrute",16,72,0.0010101795196533203,1
"g2","SingleSourceAlgoBrute",16,73,0.0006060600280761719,2
"g2","SingleSourceAlgoBrute",16,74,0.0003590583801269531,3
