"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time"
"g1",32,20,"640 671",0,0.02070444
"g1",32,21,"672 703",5,0.020969158
"g1",32,22,"704 735",32,0.021661038
"g1",32,23,"736 767",12,0.0236517
"g1",32,24,"768 799",1,0.021735535
"g1",32,25,"800 831",18,0.02121782
"g1",32,26,"832 863",1,0.021078869
"g1",32,27,"864 895",3,0.020230803999999998
"g1",32,28,"896 927",6,0.02029507
"g1",32,29,"928 959",2,0.020524340999999998
"g1",32,30,"960 991",16,0.020819364
"g1",32,31,"992 1023",20,0.021496598
"g1",32,32,"1024 1055",2,0.020430342
"g1",32,33,"1056 1087",7,0.020767675
"g1",32,34,"1088 1119",25,0.021925727
"g1",32,35,"1120 1151",3,0.020213888
"g1",32,36,"1152 1183",7,0.0205702
"g1",32,37,"1184 1215",16,0.022114923
"g1",32,38,"1216 1247",24,0.021297360999999997
"g1",32,39,"1248 1279",8,0.020614374999999997
"g1",32,40,"1280 1311",1,0.020308289
"g1",32,41,"1312 1322",0,0.020195139
"g1",64,0,"0 63",71,0.025964420000000002
"g1",64,1,"64 127",32,0.025517935000000002
"g1",64,2,"128 191",30,0.020489369
"g1",64,3,"192 255",49,0.022147400999999997
"g1",64,4,"256 319",7,0.021462989000000002
"g1",64,5,"320 383",28,0.021396105999999998
"g1",64,6,"384 447",23,0.021181539
"g1",64,7,"448 511",8,0.020507035
"g1",64,8,"512 575",33,0.021628839
"g1",64,9,"576 639",33,0.021288361999999998
"g1",64,10,"640 703",5,0.020526132
"g1",64,11,"704 767",44,0.021815831
"g1",64,12,"768 831",19,0.021662122
"g1",64,13,"832 895",4,0.021878309000000002
"g1",64,14,"896 959",8,0.020936035
"g1",64,15,"960 1023",36,0.021615852
"g1",64,16,"1024 1087",9,0.021158847999999997
"g1",64,17,"1088 1151",28,0.022447351
"g1",64,18,"1152 1215",23,0.022487119
"g1",64,19,"1216 1279",32,0.021209511
"g1",64,20,"1280 1322",1,0.020941795
"g1",100,0,"0 99",94,0.026358559
"g1",100,1,"100 199",66,0.027010236
"g1",100,2,"200 299",24,0.021723852999999998
"g1",100,3,"300 399",33,0.021401164
"g1",100,4,"400 499",30,0.02180202
"g1",100,5,"500 599",45,0.022636252
"g1",100,6,"600 699",26,0.021232578
"g1",100,7,"700 799",46,0.021780878
"g1",100,8,"800 899",22,0.021794677
"g1",100,9,"900 999",27,0.021363783
"g1",100,10,"1000 1099",31,0.022958321
"g1",100,11,"1100 1199",33,0.022270473
"g1",100,12,"1200 1299",46,0.022717537
"g1",100,13,"1300 1322",0,0.02046238
"g1",500,0,"0 499",247,0.032044358
"g1",500,1,"500 999",166,0.026278006
"g1",500,2,"1000 1322",110,0.021779623
"g1",1000,0,"0 999",413,0.027894519
"g1",1000,1,"1000 1322",110,0.027117538
"g1",5000,0,"0 1322",523,0.024149507
"g1",10000,0,"0 1322",523,0.032248627999999994
"g1",1323,0,"0 1322",523,0.026634834000000003
