matrix,time
512,12.25
1024,90.57
1536,313.82
2048,811.98
2560,1508.9
3072,2829.56
3584,4475.38
4096,6612.19
4608,9246.44
5120,12885.86
5632,16976.61
6144,22738.31
6656,28366.77
7168,37355.6
7680,47019.73
8192,57240.6
