matrix,time
512,5.99187
1024,27.6085
1536,72.7263
2048,152.428
2560,295.133
3072,487.906
3584,773.521
4096,1034.43
4608,1446.16
5120,1925.69
5632,2524.72
6144,3257.96
6656,4054.35
7168,4975.08
7680,6119.67
8192,7240.71
