matrix,time
512,25.1601
1024,157.125
1536,522.493
2048,1469.49
2560,3264.26
3072,4808.99
3584,6935.34
4096,10360.8
4608,17210.9
5120,20448.5
5632,27221.5
6144,39281.3
6656,46024.1
7168,58657
7680,72616.5
8192,88172.9
