matrix,time
512,0.89
1024,6.73
1536,23.67
2048,80.22
2560,141.31
3072,265.7
3584,450.62
4096,1185.99
4608,1102.62
5120,1725.96
5632,2074.23
6144,3978.6
6656,4032.46
7168,5505.94
7680,7038.82
8192,12622.63
