matrix,time
512,0
1024,8.94597
1536,27.4949
2048,64.6589
2560,122.813
3072,211.072
3584,338.011
4096,510.763
4608,731.509
5120,1014.25
5632,1326.39
6144,1760.26
6656,2195.35
7168,2742.17
7680,3353.12
8192,4131.65
