"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time","chunk_mem_mb"
"g1",16,127,"2032 2047",3,0.028667889,7
"g1",16,128,"2048 2063",2,0.029101759,10
"g1",16,129,"2064 2079",2,0.027432201,5
"g1",16,130,"2080 2095",4,0.030100646999999998,8
"g1",16,131,"2096 2111",1,0.026299689,8
"g1",16,132,"2112 2127",2,0.028135835,7
"g1",16,133,"2128 2143",5,0.030115383000000003,8
"g1",16,134,"2144 2159",5,0.028193448,11
"g1",16,135,"2160 2175",3,0.030714665,10
"g1",16,136,"2176 2191",1,0.027958271,10
"g1",16,137,"2192 2207",3,0.029449765,7
"g1",16,138,"2208 2223",4,0.028857805,8
"g1",16,139,"2224 2239",2,0.029972299,7
"g1",16,140,"2240 2255",2,0.029590133,7
"g1",16,141,"2256 2271",1,0.030391261,9
"g1",16,142,"2272 2287",2,0.026383513,9
"g1",16,143,"2288 2303",1,0.02670076,6
"g1",16,144,"2304 2319",3,0.027877773999999998,7
"g1",16,145,"2320 2335",4,0.028617792000000003,9
"g1",16,146,"2336 2351",3,0.028437328999999997,7
"g1",16,147,"2352 2367",2,0.028229275999999998,7
"g1",16,148,"2368 2383",1,0.028991455,11
"g1",16,149,"2384 2399",3,0.030213300000000002,7
"g1",16,150,"2400 2415",1,0.029626760999999998,9
"g1",16,151,"2416 2431",3,0.029096183,10
"g1",16,152,"2432 2447",3,0.025456032,7
"g1",16,153,"2448 2463",3,0.028000143999999998,7
"g1",16,154,"2464 2479",1,0.027430501,6
"g1",16,155,"2480 2495",3,0.029710885,5
"g1",16,156,"2496 2511",1,0.024907808,10
"g1",16,157,"2512 2527",0,0.026532403,7
"g1",16,158,"2528 2543",3,0.030137467,4
"g1",16,159,"2544 2559",1,0.027415054,8
"g1",16,160,"2560 2575",2,0.027567601,8
"g1",16,161,"2576 2591",2,0.029178825,6
"g1",16,162,"2592 2607",3,0.02896547,11
"g1",16,163,"2608 2623",4,0.028152839,8
"g1",16,164,"2624 2639",1,0.028084184,8
"g1",16,165,"2640 2655",3,0.027561865,8
"g1",16,166,"2656 2671",4,0.029028238,8
"g1",16,167,"2672 2687",2,0.026655201000000003,8
"g1",16,168,"2688 2703",3,0.028865493,11
"g1",16,169,"2704 2719",4,0.029057863,10
"g1",16,170,"2720 2735",2,0.029191468,6
"g1",16,171,"2736 2751",0,0.024614412999999998,7
"g1",16,172,"2752 2767",5,0.027616083,10
"g1",16,173,"2768 2783",4,0.026600277,9
"g1",16,174,"2784 2799",0,0.025644747,9
"g1",16,175,"2800 2815",3,0.031220429,8
"g1",16,176,"2816 2831",1,0.028518111000000002,10
"g1",16,177,"2832 2847",3,0.027353902000000003,7
"g1",16,178,"2848 2863",2,0.028188566999999998,6
"g1",16,179,"2864 2879",0,0.025841160999999998,6
"g1",16,180,"2880 2895",1,0.027498988000000002,8
"g1",16,181,"2896 2911",1,0.027798345000000002,10
"g1",16,182,"2912 2927",0,0.026389245,6
"g1",16,183,"2928 2943",2,0.028146771999999997,10
"g1",16,184,"2944 2959",2,0.026963626,5
"g1",16,185,"2960 2975",2,0.028763076000000002,9
"g1",16,186,"2976 2991",4,0.030709247999999998,10
"g1",16,187,"2992 3007",2,0.028877806,0
