"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time","chunk_mem_mb"
"g1",16,110,"1760 1775",5,0.403285498,-2
"g1",16,111,"1776 1791",3,0.26603573999999997,0
"g1",16,112,"1792 1807",21,0.5429543800000001,27
"g1",16,113,"1808 1823",5,0.27584217899999997,2
"g1",16,114,"1824 1839",4,0.255226898,-3
"g1",16,115,"1840 1855",6,0.25599916,35
"g1",16,116,"1856 1871",0,0.179759692,3
"g1",16,117,"1872 1887",5,0.35113095499999997,-33
"g1",16,118,"1888 1903",0,0.141763487,-2
"g1",16,119,"1904 1919",4,0.37669425100000004,24
"g1",16,120,"1920 1935",4,0.332808392,13
"g1",16,121,"1936 1951",8,0.39760773899999996,-43
"g1",16,122,"1952 1967",15,0.533238127,-6
"g1",16,123,"1968 1983",5,0.27373818899999997,12
"g1",16,124,"1984 1999",5,0.600175691,31
"g1",16,125,"2000 2015",27,0.545365064,31
"g1",16,126,"2016 2031",0,0.16294993400000002,11
"g1",16,127,"2032 2047",14,0.454788519,32
"g1",16,128,"2048 2063",25,0.37427447599999997,-11
"g1",16,129,"2064 2079",6,0.467740557,-17
"g1",16,130,"2080 2095",17,0.285188469,10
"g1",16,131,"2096 2111",9,0.44032786399999996,-15
"g1",16,132,"2112 2127",2,0.273430382,27
"g1",16,133,"2128 2143",6,0.238754307,11
"g1",16,134,"2144 2159",0,0.18930123299999999,22
"g1",16,135,"2160 2175",0,0.178890987,24
"g1",16,136,"2176 2191",0,0.186891754,1
"g1",16,137,"2192 2207",4,0.277295411,32
"g1",16,138,"2208 2223",7,0.268211654,21
"g1",16,139,"2224 2239",4,0.25172141400000003,24
"g1",16,140,"2240 2255",2,0.264578753,11
"g1",16,141,"2256 2271",9,0.384216496,6
"g1",16,142,"2272 2287",6,0.221752992,-18
"g1",16,143,"2288 2303",0,0.174754538,-27
"g1",16,144,"2304 2319",8,0.660280567,30
"g1",16,145,"2320 2335",10,0.36054670099999997,4
"g1",16,146,"2336 2351",7,0.249170504,8
"g1",16,147,"2352 2367",2,0.28836747500000004,-6
"g1",16,148,"2368 2383",2,0.23434586899999998,9
"g1",16,149,"2384 2399",0,0.173094021,-17
"g1",16,150,"2400 2415",52,0.9135921690000001,-17
"g1",16,151,"2416 2431",12,0.339155019,3
"g1",16,152,"2432 2447",3,0.27697056,42
"g1",16,153,"2448 2463",6,0.340041155,7
"g1",16,154,"2464 2479",18,0.368247017,11
"g1",16,155,"2480 2495",73,0.824591856,0
"g1",16,156,"2496 2511",2,0.256527511,5
"g1",16,157,"2512 2527",0,0.170812525,17
"g1",16,158,"2528 2543",0,0.182434435,0
"g1",16,159,"2544 2559",0,0.198341952,-46
"g1",16,160,"2560 2575",0,0.17325652500000002,-37
"g1",16,161,"2576 2591",11,0.243988373,8
"g1",16,162,"2592 2607",21,0.5120735120000001,27
"g1",16,163,"2608 2623",22,0.364731464,-5
"g1",16,164,"2624 2639",8,0.358867014,6
"g1",16,165,"2640 2655",10,0.363213488,6
"g1",16,166,"2656 2671",3,0.23906830199999998,34
"g1",16,167,"2672 2687",10,0.402052333,15
"g1",16,168,"2688 2703",15,0.29256029899999997,11
"g1",16,169,"2704 2719",4,0.236811645,-5
"g1",16,170,"2720 2735",6,0.286918653,-15
"g1",16,171,"2736 2751",0,0.219271603,8
"g1",16,172,"2752 2767",8,0.353919741,-8
"g1",16,173,"2768 2783",6,0.413774218,8
"g1",16,174,"2784 2799",0,0.193118541,3
"g1",16,175,"2800 2815",6,0.283251889,-29
"g1",16,176,"2816 2831",0,0.18613659300000002,6
"g1",16,177,"2832 2847",19,0.512748654,0
"g1",16,178,"2848 2863",1,0.273841248,29
"g1",16,179,"2864 2879",1,0.239259483,-24
"g1",16,180,"2880 2895",52,0.39471245800000004,17
"g1",16,181,"2896 2911",56,0.567802461,-2
"g1",16,182,"2912 2927",17,0.520570576,30
"g1",16,183,"2928 2943",3,0.286063936,0
"g1",16,184,"2944 2959",3,0.268784464,7
"g1",16,185,"2960 2975",4,0.330758614,23
"g1",16,186,"2976 2991",7,0.300466993,12
"g1",16,187,"2992 3007",10,0.265566948,0
"g1",16,188,"3008 3023",3,0.222177506,-5
"g1",16,189,"3024 3039",3,0.271047999,-3
"g1",16,190,"3040 3055",0,0.169610891,-4
"g1",16,191,"3056 3071",2,0.27684216700000003,-9
"g1",16,192,"3072 3087",5,0.280485926,20
"g1",16,193,"3088 3103",6,0.363189741,-1
"g1",16,194,"3104 3119",9,0.271702089,7
"g1",16,195,"3120 3135",2,0.294816335,-9
"g1",16,196,"3136 3151",2,0.28039063599999997,22
"g1",16,197,"3152 3167",0,0.162273116,-8
"g1",16,198,"3168 3183",8,0.26039712800000003,6
"g1",16,199,"3184 3199",20,0.402805605,27
"g1",16,200,"3200 3215",4,0.294643904,26
"g1",16,201,"3216 3231","",""
"g1",16,202,"3232 3247",1,0.446617614,8
"g1",16,203,"3248 3263",18,0.48922654899999996,25
"g1",16,204,"3264 3279",0,0.190471327,33
"g1",16,205,"3280 3295",64,0.42642519,24
"g1",16,206,"3296 3311",9,0.5501858439999999,10
"g1",16,207,"3312 3327",86,0.7574908349999999,4
"g1",16,208,"3328 3343",18,0.8431474459999999,24
"g1",16,209,"3344 3359",2,0.27830007,8
"g1",16,210,"3360 3375",7,0.32777878800000004,19
"g1",16,211,"3376 3391",8,0.499281764,3
"g1",16,212,"3392 3407",2,0.274633562,22
"g1",16,213,"3408 3423",11,0.326374967,1
"g1",16,214,"3424 3439",0,0.215049582,-10
"g1",16,215,"3440 3455",0,0.190890251,-6
"g1",16,216,"3456 3471",5,0.274557096,30
