"grammar","algo","chunk_size","chunk_id","chunk_time"
"geo","SingleSourceAlgoBrute",32,0,0.0004401206970214844
"geo","SingleSourceAlgoBrute",32,1,0.00034427642822265625
"geo","SingleSourceAlgoBrute",32,2,0.00033974647521972656
"geo","SingleSourceAlgoBrute",32,3,0.00032973289489746094
"geo","SingleSourceAlgoBrute",32,4,0.00032830238342285156
"geo","SingleSourceAlgoBrute",32,5,0.0003323554992675781
"geo","SingleSourceAlgoBrute",32,6,0.0003325939178466797
"geo","SingleSourceAlgoBrute",32,7,0.00034618377685546875
"geo","SingleSourceAlgoBrute",32,8,0.00036144256591796875
"geo","SingleSourceAlgoBrute",32,9,0.00035500526428222656
"geo","SingleSourceAlgoBrute",32,10,0.00035762786865234375
"geo","SingleSourceAlgoBrute",32,11,0.0003643035888671875
"geo","SingleSourceAlgoBrute",32,12,0.00034999847412109375
"geo","SingleSourceAlgoBrute",32,13,0.0003581047058105469
"geo","SingleSourceAlgoBrute",32,14,0.00040793418884277344
"geo","SingleSourceAlgoBrute",32,15,0.0003361701965332031
"geo","SingleSourceAlgoBrute",32,16,0.00032806396484375
"geo","SingleSourceAlgoBrute",32,17,0.00032782554626464844
"geo","SingleSourceAlgoBrute",32,18,0.0003266334533691406
"geo","SingleSourceAlgoBrute",32,19,0.00034499168395996094
"geo","SingleSourceAlgoBrute",32,20,0.0003285408020019531
"geo","SingleSourceAlgoBrute",32,21,0.0003294944763183594
"geo","SingleSourceAlgoBrute",32,22,0.00032782554626464844
"geo","SingleSourceAlgoBrute",32,23,0.0003304481506347656
"geo","SingleSourceAlgoBrute",32,24,0.00036215782165527344
"geo","SingleSourceAlgoBrute",32,25,0.000400543212890625
"geo","SingleSourceAlgoBrute",32,26,0.0003941059112548828
"geo","SingleSourceAlgoBrute",32,27,0.0003540515899658203
"geo","SingleSourceAlgoBrute",32,28,0.00035262107849121094
"geo","SingleSourceAlgoBrute",32,29,0.0003483295440673828
"geo","SingleSourceAlgoBrute",32,30,0.0003509521484375
"geo","SingleSourceAlgoBrute",32,31,0.00037026405334472656
"geo","SingleSourceAlgoBrute",32,32,0.0003504753112792969
"geo","SingleSourceAlgoBrute",32,33,0.0003495216369628906
"geo","SingleSourceAlgoBrute",32,34,0.00037789344787597656
"geo","SingleSourceAlgoBrute",32,35,0.00033664703369140625
"geo","SingleSourceAlgoBrute",32,36,0.00033545494079589844
"geo","SingleSourceAlgoBrute",32,37,0.000335693359375
"geo","SingleSourceAlgoBrute",32,38,0.0003514289855957031
"geo","SingleSourceAlgoBrute",32,39,0.0003376007080078125
"geo","SingleSourceAlgoBrute",32,40,0.0003325939178466797
"geo","SingleSourceAlgoBrute",32,41,0.0002715587615966797
"geo","SingleSourceAlgoBrute",64,0,0.0005950927734375
"geo","SingleSourceAlgoBrute",64,1,0.0004532337188720703
"geo","SingleSourceAlgoBrute",64,2,0.0004508495330810547
"geo","SingleSourceAlgoBrute",64,3,0.00044465065002441406
"geo","SingleSourceAlgoBrute",64,4,0.00044035911560058594
"geo","SingleSourceAlgoBrute",64,5,0.0004444122314453125
"geo","SingleSourceAlgoBrute",64,6,0.000476837158203125
"geo","SingleSourceAlgoBrute",64,7,0.0004558563232421875
"geo","SingleSourceAlgoBrute",64,8,0.00044083595275878906
"geo","SingleSourceAlgoBrute",64,9,0.00044274330139160156
"geo","SingleSourceAlgoBrute",64,10,0.0004401206970214844
"geo","SingleSourceAlgoBrute",64,11,0.0004372596740722656
"geo","SingleSourceAlgoBrute",64,12,0.0004410743713378906
"geo","SingleSourceAlgoBrute",64,13,0.00043892860412597656
"geo","SingleSourceAlgoBrute",64,14,0.00044155120849609375
"geo","SingleSourceAlgoBrute",64,15,0.0004582405090332031
"geo","SingleSourceAlgoBrute",64,16,0.0004794597625732422
"geo","SingleSourceAlgoBrute",64,17,0.0004572868347167969
"geo","SingleSourceAlgoBrute",64,18,0.0004608631134033203
"geo","SingleSourceAlgoBrute",64,19,0.00046896934509277344
"geo","SingleSourceAlgoBrute",64,20,0.00040435791015625
"geo","SingleSourceAlgoBrute",100,0,0.0007081031799316406
"geo","SingleSourceAlgoBrute",100,1,0.0005927085876464844
"geo","SingleSourceAlgoBrute",100,2,0.0005960464477539062
"geo","SingleSourceAlgoBrute",100,3,0.0006084442138671875
"geo","SingleSourceAlgoBrute",100,4,0.0006256103515625
"geo","SingleSourceAlgoBrute",100,5,0.0005750656127929688
"geo","SingleSourceAlgoBrute",100,6,0.0005602836608886719
"geo","SingleSourceAlgoBrute",100,7,0.0005609989166259766
"geo","SingleSourceAlgoBrute",100,8,0.0005557537078857422
"geo","SingleSourceAlgoBrute",100,9,0.0006005764007568359
"geo","SingleSourceAlgoBrute",100,10,0.0007600784301757812
"geo","SingleSourceAlgoBrute",100,11,0.0006277561187744141
"geo","SingleSourceAlgoBrute",100,12,0.0005843639373779297
"geo","SingleSourceAlgoBrute",100,13,0.0003371238708496094
"geo","SingleSourceAlgoBrute",500,0,0.0019490718841552734
"geo","SingleSourceAlgoBrute",500,1,0.0017352104187011719
"geo","SingleSourceAlgoBrute",500,2,0.0012297630310058594
"geo","SingleSourceAlgoBrute",1000,0,0.0039653778076171875
"geo","SingleSourceAlgoBrute",1000,1,0.0013473033905029297
"geo","SingleSourceAlgoBrute",5000,0,0.004231452941894531
"geo","SingleSourceAlgoBrute",10000,0,0.004766702651977539
"geo","SingleSourceAlgoBrute",1323,0,0.004217386245727539
"g1","SingleSourceAlgoBrute",32,0,0.008029699325561523
"g1","SingleSourceAlgoBrute",32,1,0.0025491714477539062
"g1","SingleSourceAlgoBrute",32,2,0.007806301116943359
"g1","SingleSourceAlgoBrute",32,3,0.001981019973754883
"g1","SingleSourceAlgoBrute",32,4,0.004119873046875
"g1","SingleSourceAlgoBrute",32,5,0.003210783004760742
"g1","SingleSourceAlgoBrute",32,6,0.002845287322998047
"g1","SingleSourceAlgoBrute",32,7,0.0033257007598876953
"g1","SingleSourceAlgoBrute",32,8,0.0017898082733154297
"g1","SingleSourceAlgoBrute",32,9,0.0017888545989990234
"g1","SingleSourceAlgoBrute",32,10,0.0027065277099609375
"g1","SingleSourceAlgoBrute",32,11,0.003328084945678711
"g1","SingleSourceAlgoBrute",32,12,0.0018641948699951172
"g1","SingleSourceAlgoBrute",32,13,0.0017437934875488281
"g1","SingleSourceAlgoBrute",32,14,0.002602100372314453
"g1","SingleSourceAlgoBrute",32,15,0.0017957687377929688
"g1","SingleSourceAlgoBrute",32,16,0.0017588138580322266
"g1","SingleSourceAlgoBrute",32,17,0.0025060176849365234
"g1","SingleSourceAlgoBrute",32,18,0.0017478466033935547
"g1","SingleSourceAlgoBrute",32,19,0.0017478466033935547
"g1","SingleSourceAlgoBrute",32,20,0.0018258094787597656
"g1","SingleSourceAlgoBrute",32,21,0.0017037391662597656
"g1","SingleSourceAlgoBrute",32,22,0.0009682178497314453
"g1","SingleSourceAlgoBrute",32,23,0.0017066001892089844
"g1","SingleSourceAlgoBrute",32,24,0.0009665489196777344
"g1","SingleSourceAlgoBrute",32,25,0.001691579818725586
"g1","SingleSourceAlgoBrute",32,26,0.0017757415771484375
"g1","SingleSourceAlgoBrute",32,27,0.0017018318176269531
"g1","SingleSourceAlgoBrute",32,28,0.0009663105010986328
"g1","SingleSourceAlgoBrute",32,29,0.0017066001892089844
"g1","SingleSourceAlgoBrute",32,30,0.0009672641754150391
"g1","SingleSourceAlgoBrute",32,31,0.003378629684448242
"g1","SingleSourceAlgoBrute",32,32,0.0009388923645019531
"g1","SingleSourceAlgoBrute",32,33,0.0009305477142333984
"g1","SingleSourceAlgoBrute",32,34,0.0009417533874511719
"g1","SingleSourceAlgoBrute",32,35,0.000926971435546875
"g1","SingleSourceAlgoBrute",32,36,0.0009281635284423828
"g1","SingleSourceAlgoBrute",32,37,0.0009274482727050781
"g1","SingleSourceAlgoBrute",32,38,0.0009229183197021484
"g1","SingleSourceAlgoBrute",32,39,0.0009489059448242188
"g1","SingleSourceAlgoBrute",32,40,0.0009260177612304688
"g1","SingleSourceAlgoBrute",32,41,0.00083160400390625
"g1","SingleSourceAlgoBrute",64,0,0.009244918823242188
"g1","SingleSourceAlgoBrute",64,1,0.009945869445800781
"g1","SingleSourceAlgoBrute",64,2,0.007565736770629883
"g1","SingleSourceAlgoBrute",64,3,0.0037178993225097656
"g1","SingleSourceAlgoBrute",64,4,0.0021131038665771484
"g1","SingleSourceAlgoBrute",64,5,0.004414558410644531
"g1","SingleSourceAlgoBrute",64,6,0.002153158187866211
"g1","SingleSourceAlgoBrute",64,7,0.0030994415283203125
"g1","SingleSourceAlgoBrute",64,8,0.0030040740966796875
"g1","SingleSourceAlgoBrute",64,9,0.002083301544189453
"g1","SingleSourceAlgoBrute",64,10,0.002096891403198242
"g1","SingleSourceAlgoBrute",64,11,0.001970529556274414
"g1","SingleSourceAlgoBrute",64,12,0.001943349838256836
"g1","SingleSourceAlgoBrute",64,13,0.001963376998901367
"g1","SingleSourceAlgoBrute",64,14,0.0019464492797851562
"g1","SingleSourceAlgoBrute",64,15,0.0039021968841552734
"g1","SingleSourceAlgoBrute",64,16,0.0011227130889892578
"g1","SingleSourceAlgoBrute",64,17,0.0011012554168701172
"g1","SingleSourceAlgoBrute",64,18,0.0011081695556640625
"g1","SingleSourceAlgoBrute",64,19,0.0011036396026611328
"g1","SingleSourceAlgoBrute",64,20,0.00101470947265625
"g1","SingleSourceAlgoBrute",100,0,0.01036977767944336
"g1","SingleSourceAlgoBrute",100,1,0.008232593536376953
"g1","SingleSourceAlgoBrute",100,2,0.004233121871948242
"g1","SingleSourceAlgoBrute",100,3,0.005543708801269531
"g1","SingleSourceAlgoBrute",100,4,0.0028417110443115234
"g1","SingleSourceAlgoBrute",100,5,0.003587484359741211
"g1","SingleSourceAlgoBrute",100,6,0.0024585723876953125
"g1","SingleSourceAlgoBrute",100,7,0.0022258758544921875
"g1","SingleSourceAlgoBrute",100,8,0.0022475719451904297
"g1","SingleSourceAlgoBrute",100,9,0.002221822738647461
"g1","SingleSourceAlgoBrute",100,10,0.0043718814849853516
"g1","SingleSourceAlgoBrute",100,11,0.0013048648834228516
"g1","SingleSourceAlgoBrute",100,12,0.001270294189453125
"g1","SingleSourceAlgoBrute",100,13,0.0009336471557617188
"g1","SingleSourceAlgoBrute",500,0,0.014479398727416992
"g1","SingleSourceAlgoBrute",500,1,0.005945920944213867
"g1","SingleSourceAlgoBrute",500,2,0.00847005844116211
"g1","SingleSourceAlgoBrute",1000,0,0.01833510398864746
"g1","SingleSourceAlgoBrute",1000,1,0.007807254791259766
"g1","SingleSourceAlgoBrute",5000,0,0.015681743621826172
"g1","SingleSourceAlgoBrute",10000,0,0.015336990356445312
"g1","SingleSourceAlgoBrute",1323,0,0.014895915985107422
"g2","SingleSourceAlgoBrute",32,0,0.003384113311767578
"g2","SingleSourceAlgoBrute",32,1,0.0011420249938964844
"g2","SingleSourceAlgoBrute",32,2,0.0009074211120605469
"g2","SingleSourceAlgoBrute",32,3,0.0009088516235351562
"g2","SingleSourceAlgoBrute",32,4,0.0020301342010498047
"g2","SingleSourceAlgoBrute",32,5,0.001245260238647461
"g2","SingleSourceAlgoBrute",32,6,0.001580953598022461
"g2","SingleSourceAlgoBrute",32,7,0.0018193721771240234
"g2","SingleSourceAlgoBrute",32,8,0.0009703636169433594
"g2","SingleSourceAlgoBrute",32,9,0.0010225772857666016
"g2","SingleSourceAlgoBrute",32,10,0.001744985580444336
"g2","SingleSourceAlgoBrute",32,11,0.0018684864044189453
"g2","SingleSourceAlgoBrute",32,12,0.0011093616485595703
"g2","SingleSourceAlgoBrute",32,13,0.0012891292572021484
"g2","SingleSourceAlgoBrute",32,14,0.0015492439270019531
"g2","SingleSourceAlgoBrute",32,15,0.0012965202331542969
"g2","SingleSourceAlgoBrute",32,16,0.0010292530059814453
"g2","SingleSourceAlgoBrute",32,17,0.001424551010131836
"g2","SingleSourceAlgoBrute",32,18,0.0005114078521728516
"g2","SingleSourceAlgoBrute",32,19,0.0009849071502685547
"g2","SingleSourceAlgoBrute",32,20,0.0005068778991699219
"g2","SingleSourceAlgoBrute",32,21,0.0009138584136962891
"g2","SingleSourceAlgoBrute",32,22,0.0005025863647460938
"g2","SingleSourceAlgoBrute",32,23,0.0009031295776367188
"g2","SingleSourceAlgoBrute",32,24,0.0005044937133789062
"g2","SingleSourceAlgoBrute",32,25,0.0009169578552246094
"g2","SingleSourceAlgoBrute",32,26,0.0011076927185058594
"g2","SingleSourceAlgoBrute",32,27,0.001073598861694336
"g2","SingleSourceAlgoBrute",32,28,0.0005068778991699219
"g2","SingleSourceAlgoBrute",32,29,0.0010805130004882812
"g2","SingleSourceAlgoBrute",32,30,0.0005071163177490234
"g2","SingleSourceAlgoBrute",32,31,0.0018389225006103516
"g2","SingleSourceAlgoBrute",32,32,0.0005280971527099609
"g2","SingleSourceAlgoBrute",32,33,0.0004868507385253906
"g2","SingleSourceAlgoBrute",32,34,0.0004947185516357422
"g2","SingleSourceAlgoBrute",32,35,0.00048613548278808594
"g2","SingleSourceAlgoBrute",32,36,0.00048613548278808594
"g2","SingleSourceAlgoBrute",32,37,0.0004825592041015625
"g2","SingleSourceAlgoBrute",32,38,0.0005040168762207031
"g2","SingleSourceAlgoBrute",32,39,0.000484466552734375
"g2","SingleSourceAlgoBrute",32,40,0.00048041343688964844
"g2","SingleSourceAlgoBrute",32,41,0.0004200935363769531
"g2","SingleSourceAlgoBrute",64,0,0.0037734508514404297
"g2","SingleSourceAlgoBrute",64,1,0.0011477470397949219
"g2","SingleSourceAlgoBrute",64,2,0.002819538116455078
"g2","SingleSourceAlgoBrute",64,3,0.0025529861450195312
"g2","SingleSourceAlgoBrute",64,4,0.001230001449584961
"g2","SingleSourceAlgoBrute",64,5,0.0024597644805908203
"g2","SingleSourceAlgoBrute",64,6,0.0013942718505859375
"g2","SingleSourceAlgoBrute",64,7,0.0018906593322753906
"g2","SingleSourceAlgoBrute",64,8,0.001756429672241211
"g2","SingleSourceAlgoBrute",64,9,0.0011811256408691406
"g2","SingleSourceAlgoBrute",64,10,0.0011010169982910156
"g2","SingleSourceAlgoBrute",64,11,0.0012552738189697266
"g2","SingleSourceAlgoBrute",64,12,0.0010838508605957031
"g2","SingleSourceAlgoBrute",64,13,0.0013279914855957031
"g2","SingleSourceAlgoBrute",64,14,0.001294851303100586
"g2","SingleSourceAlgoBrute",64,15,0.0021677017211914062
"g2","SingleSourceAlgoBrute",64,16,0.0006098747253417969
"g2","SingleSourceAlgoBrute",64,17,0.0005967617034912109
"g2","SingleSourceAlgoBrute",64,18,0.0005943775177001953
"g2","SingleSourceAlgoBrute",64,19,0.0005922317504882812
"g2","SingleSourceAlgoBrute",64,20,0.0005257129669189453
"g2","SingleSourceAlgoBrute",100,0,0.003867626190185547
"g2","SingleSourceAlgoBrute",100,1,0.0034666061401367188
