matrix,time
512,128.843
1024,620.735
1536,1856.58
2048,4235.66
2560,7883.65
3072,13493.2
3584,21281.4
4096,40984.7
4608,47219.4
5120,65238.6
5632,88713.5
6144,123798
6656,150425
7168,199430
7680,242638
8192,540031
