matrix,time
512,51.58
1024,677.79
1536,2276.21
2048,5499.77
2560,10520.20
3072,18179.28
3584,28882.48
4096,43904.26
4608,61514.10
5120,84546.24
5632,112914.21
6144,148107.59
6656,187293.33
7168,234572.59
7680,290108.60
8192,359733.29
