matrix,time
512,0
1024,198.128
1536,635.662
2048,1482.08
2560,2857.57
3072,4855.81
3584,7759.4
4096,11604
4608,16263.7
5120,22298.2
5632,29328.6
6144,38980.1
6656,49191.4
7168,61527.7
7680,75031.1
8192,91028.1
