matrix,time
512,126.967
1024,639.067
1536,1993.37
2048,4571.11
2560,8862.55
3072,15205.1
3584,24116
4096,35764.9
4608,51015
5120,69920.7
5632,93102.9
6144,120903
6656,154184
7168,192602
7680,237890
8192,293004
