matrix,time
512,42.84
1024,284.70
1536,877.38
2048,2163.33
2560,3832.14
3072,6913.31
3584,10978.11
4096,17433.49
4608,23296.82
5120,32429.89
5632,42431.73
6144,55460.47
6656,70214.01
7168,86915.16
7680,106254.99
8192,144528.65
