name,param:algo,param:chunk_size,param:grammar,param:graph,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-foaf-geo-None],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/foaf.txt,0.0015049000066937879,0.0015049000066937879,0.0015049000066937879,0,0.0015049000066937879,0.0,0;0,664.4959768436473,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-skos-geo-100],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],100,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/skos.txt,0.0015929539949866012,0.0015929539949866012,0.0015929539949866012,0,0.0015929539949866012,0.0,0;0,627.7645199718472,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-atom-primitive-geo-None],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/atom-primitive.txt,0.0015979480085661635,0.0015979480085661635,0.0015979480085661635,0,0.0015979480085661635,0.0,0;0,625.8025884692572,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-people_pets-geo-None],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/people_pets.txt,0.001746670008287765,0.001746670008287765,0.001746670008287765,0,0.001746670008287765,0.0,0;0,572.5179886613415,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-skos-g2-100],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],100,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/g2.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/skos.txt,0.00180066900793463,0.00180066900793463,0.00180066900793463,0,0.00180066900793463,0.0,0;0,555.3491483407056,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoOpt-generations-geo-None],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoOpt'>],,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/generations.txt,0.0018095279956469312,0.0018095279956469312,0.0018095279956469312,0,0.0018095279956469312,0.0,0;0,552.6303005013671,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoOpt-travel-geo-None],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoOpt'>],,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/travel.txt,0.0018486140033928677,0.0018486140033928677,0.0018486140033928677,0,0.0018486140033928677,0.0,0;0,540.9458103014704,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoOpt-generations-g2-None],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoOpt'>],,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/g2.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/generations.txt,0.0018563990015536547,0.0018563990015536547,0.0018563990015536547,0,0.0018563990015536547,0.0,0;0,538.6772989874922,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoOpt-skos-geo-None],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoOpt'>],,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/skos.txt,0.0019516210013534874,0.0019516210013534874,0.0019516210013534874,0,0.0019516210013534874,0.0,0;0,512.3945680572614,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoOpt-generations-geo-100],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoOpt'>],100,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/generations.txt,0.001980893997824751,0.001980893997824751,0.001980893997824751,0,0.001980893997824751,0.0,0;0,504.8225705656713,1,1
